"Cube Field Type","Cube Field Name","Parent Name","Dataset Name/RF Name","Source Type","Source Name","Source Field Name","Description"
"Measure","OrderDate_CountD","Distinct Count Measure","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderDate",""
"Measure","Region_CountD","Distinct Count Measure","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Region",""
"Calculated Measure","TestMeasure","Distinct Count Measure","","MDX Expression","10","",""
"Calculated Measure","TestMeasure1","Distinct Count Measure","","MDX Expression","HEAD([Product].[H_Product].[Category].&[Furniture].children,[Measures].[TestMeasure]).count","",""
"Measure","Sum Sales","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Sales",""
"Measure","Sum Quantity","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Quantity",""
"Measure","Sum Discount","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Discount",""
"Measure","Sum Profit","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Profit",""
"Measure","Sum ShippingCost","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","ShippingCost",""
"Measure","INR_RT","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","INR_RT",""
"Measure","AUD_RT","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","AUD_RT",""
"Measure","GBP_RT","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","GBP_RT",""
"Measure","EUD_RT","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","EUD_RT",""
"Measure","ProductID_Count","MeasureGroup","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","ProductID",""
"Measure","Avg Sales","Avg Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Sales",""
"Measure","Avg Quantity","Avg Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Quantity",""
"Measure","Avg Discount","Avg Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Discount",""
"Measure","Avg Profit","Avg Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Profit",""
"Measure","Avg ShippingCost","Avg Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","ShippingCost",""
"Measure","Min Sales","Min Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Sales",""
"Measure","Min Quantity","Min Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Quantity",""
"Measure","Min Profit","Min Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Profit",""
"Measure","Max ShippingCost","Max Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","ShippingCost",""
"Measure","Max Sales","Max Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","Sales",""
"Calculated Measure","Measure1","ExpressionTest","","MDX Expression","[Measures].[Sum Sales]/[Measures].[ProductID_Count]","",""
"Calculated Measure","BitSetIntersection","ExpressionTest","","MDX Expression","BITSETINTERSECTION([Measures].[OrderID_CountD], GetFilterInfo([Order].[OrderID]))","",""
"Calculated Measure","Percentile_Sum_Filter","ExpressionTest","","MDX Expression","Percentile([Geo].[H_Geo].[Country], Sum( Filter([ShipDate].[H_ShipDate].[Year], [Measures].[Avg Discount] <> null), [Measures].[Sum Sales]), 40, Inclusive)","",""
"Calculated Measure","Percentile","ExpressionTest","","MDX Expression","Percentile([Geo].[H_Geo].[Country],[Measures].[Avg Sales],11.32,Exclusive)","",""
"Calculated Measure","Decile","ExpressionTest","","MDX Expression","Decile([Geo].[H_Geo].[Country],[Measures].[Max Sales],5.8123,Inclusive)","",""
"Calculated Measure","Median","ExpressionTest","","MDX Expression","Median([Geo].[H_Geo].[Country],[Measures].[Sum Sales],Inclusive)","",""
"Calculated Measure","Percentile2","ExpressionTest","","MDX Expression","Percentile([Geo].[H_Geo].[Country].&[Afghanistan],[Measures].[Avg Sales],20,Inclusive)","",""
"Measure","CityCount","Count Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","City",""
"Measure","OrderID_Count","Count Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","OrderID",""
"Measure","CustomerID_Count","Count Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","CustomerID",""
"Measure","Product_Count","Count Measures","Local_Kyvos_DataAccuracyCubes-Local_Orders Date","file","file:/home/kyvos/kyvos/olapengine/work/data/cube_data/querying_automation/Orders.txt","ProductID",""
